Entity,Code,Year,"Current number of cases of alcohol use disorders, in females aged all ages","Current number of cases of alcohol use disorders, in males aged all ages",Males,Females,Total,Percentage Males,Percentage Females
Cyprus,CYP,1990,3697.251,10242.845,10242.845,3697.251,13940.096,73.47757863360481,26.522421366395182
Cyprus,CYP,1991,3769.6492,10305.23,10305.23,3769.6492,14074.8792,73.21718256736442,26.782817432635586
Cyprus,CYP,1992,3845.4917,10383.217,10383.217,3845.4917,14228.708700000001,72.9737126461799,27.026287353820095
Cyprus,CYP,1993,3922.5322,10482.901,10482.901,3922.5322,14405.4332,72.77046690966571,27.22953309033428
Cyprus,CYP,1994,3999.6504,10609.434,10609.434,3999.6504,14609.0844,72.62216925791735,27.377830742082647
Cyprus,CYP,1995,4076.4373,10769.335,10769.335,4076.4373,14845.772299999999,72.54142649082662,27.458573509173384
Cyprus,CYP,1996,4155.7197,10975.873,10975.873,4155.7197,15131.5927,72.53613824802461,27.463861751975386
Cyprus,CYP,1997,4239.339,11223.971,11223.971,4239.339,15463.31,72.58453073759758,27.415469262402425
Cyprus,CYP,1998,4327.213,11499.99,11499.99,4327.213,15827.203,72.65964807553172,27.34035192446827
Cyprus,CYP,1999,4419.717,11789.066,11789.066,4419.717,16208.783,72.73257961439795,27.267420385602055
Cyprus,CYP,2000,4517.755,12073.731,12073.731,4517.755,16591.486,72.7706427260343,27.229357273965693
Cyprus,CYP,2001,4617.6216,12360.316,12360.316,4617.6216,16977.9376,72.8022230450417,27.197776954958297
Cyprus,CYP,2002,4719.507,12669.7295,12669.7295,4719.507,17389.2365,72.85960772343283,27.14039227656717
Cyprus,CYP,2003,4827.621,13001.694,13001.694,4827.621,17829.315,72.92312688401097,27.076873115989038
Cyprus,CYP,2004,4947.2344,13355.388,13355.388,4947.2344,18302.6224,72.96980568205352,27.03019431794648
Cyprus,CYP,2005,5083.938,13727.188,13727.188,5083.938,18811.126,72.97377094810805,27.02622905189195
Cyprus,CYP,2006,5236.7705,14109.737,14109.737,5236.7705,19346.5075,72.93170098013815,27.068299019861854
Cyprus,CYP,2007,5397.158,14495.173,14495.173,5397.158,19892.331000000002,72.86814702610769,27.1318529738923
Cyprus,CYP,2008,5559.2905,14878.999,14878.999,5559.2905,20438.2895,72.79962934275885,27.20037065724116
Cyprus,CYP,2009,5717.9863,15259.771,15259.771,5717.9863,20977.7573,72.74262344526218,27.25737655473781
Cyprus,CYP,2010,5867.1953,15634.092,15634.092,5867.1953,21501.2873,72.71235336686097,27.287646633139033
Cyprus,CYP,2011,5980.875,15968.551,15968.551,5980.875,21949.426,72.75156534845149,27.24843465154852
Cyprus,CYP,2012,6046.443,16236.604,16236.604,6046.443,22283.047,72.86527735636874,27.13472264363128
Cyprus,CYP,2013,6082.4272,16454.885,16454.885,6082.4272,22537.3122,73.011745384616,26.988254615383994
Cyprus,CYP,2014,6109.558,16644.275,16644.275,6109.558,22753.833000000002,73.1493238963299,26.85067610367009
Cyprus,CYP,2015,6151.43,16829.965,16829.965,6151.43,22981.395,73.23299999847703,26.767000001522973
Cyprus,CYP,2016,6205.5,16955.006,16955.006,6205.5,23160.506,73.20654393302115,26.793456066978845
Cyprus,CYP,2017,6263.341,17069.838,17069.838,6263.341,23333.179,73.15693245228178,26.843067547718206
Cyprus,CYP,2018,6407.2363,17373.87,17373.87,6407.2363,23781.1063,73.0574506535888,26.942549346411187
Cyprus,CYP,2019,6655.5894,17858.387,17858.387,6655.5894,24513.9764,72.84981721692446,27.15018278307554
